,GAMEID,HOME_ELO,AWAY_ELO
0,20100101ATLNYK,1500,1500
1,20100101MINORL,1500,1500
2,20100101LALSAC,1500,1500
3,20100102NJNCLE,1500,1500
4,20100102MIACHA,1500,1500
5,20100102INDMIN,1500,1487
6,20100102WASSAS,1500,1500
7,20100102BOSTOR,1500,1500
8,20100102CHIORL,1500,1512
9,20100102MILOKC,1500,1500
10,20100102PHOMEM,1500,1500
11,20100102UTADEN,1500,1500
12,20100102PORGSW,1500,1500
13,20100102SACDAL,1492,1500
14,20100103CLECHA,1512,1512
15,20100103NYKIND,1512,1506
16,20100103TORSAS,1492,1512
17,20100103DENPHI,1512,1500
18,20100103LALDAL,1507,1512
19,20100104MIAATL,1487,1487
20,20100104CHIOKC,1507,1492
21,20100104LACPOR,1500,1507
22,20100105CHACHI,1525,1494
23,20100105INDORL,1499,1505
24,20100105PHIWAS,1513,1487
25,20100105NJNMIL,1487,1507
26,20100105DALDET,1505,1500
27,20100105DENGSW,1499,1492
28,20100105PORMEM,1499,1512
29,20100105SACPHO,1480,1487
30,20100105LALHOU,1514,1500
31,20100106ATLNJN,1480,1474
32,20100106CLEWAS,1500,1500
33,20100106ORLTOR,1497,1500
34,20100106MIABOS,1494,1507
35,20100106MINGSW,1480,1485
36,20100106SASDET,1505,1492
37,20100106PHOHOU,1499,1493
38,20100106UTAMEM,1487,1525
39,20100106LACLAL,1507,1521
40,20100107NYKCHA,1519,1531
41,20100108PHITOR,1499,1513
42,20100108WASORL,1493,1485
43,20100108ATLBOS,1487,1519
44,20100108MEMUTA,1517,1495
45,20100108MININD,1467,1507
46,20100108MILCHI,1519,1487
47,20100108SASDAL,1511,1512
48,20100108PHOMIA,1506,1481
49,20100108PORLAL,1487,1513
50,20100108DENCLE,1506,1507
51,20100108GSWSAC,1498,1467
52,20100109CHAMEM,1524,1523
53,20100109ORLATL,1478,1495
54,20100109DETPHI,1486,1487
55,20100109CHIMIN,1481,1475
56,20100109OKCIND,1505,1498
57,20100109DALUTA,1525,1488
58,20100109HOUNYK,1486,1527
59,20100109SACDEN,1461,1513
60,20100110TORBOS,1525,1511
61,20100110LACMIA,1514,1495
62,20100110SASNJN,1499,1467
63,20100110PORCLE,1495,1500
64,20100110LALMIL,1505,1525
65,20100111INDTOR,1491,1512
66,20100111BOSATL,1524,1487
67,20100111CHIDET,1488,1473
68,20100111OKCNYK,1513,1519
