,Date,Team,Elo
0,2010-01-01,ATL,1500
39,2010-01-04,ATL,1487.1987000039423
62,2010-01-06,ATL,1480.0
86,2010-01-08,ATL,1487.0649387234248
107,2010-01-09,ATL,1495.1487672472012
133,2010-01-11,ATL,1487.494761970138
156,2010-01-13,ATL,1501.2517143383477
184,2010-01-15,ATL,1508.070748715506
226,2010-01-18,ATL,1514.900991213041
248,2010-01-20,ATL,1501.9002275650016
284,2010-01-22,ATL,1507.544609277497
333,2010-01-25,ATL,1516.2187654874297
367,2010-01-27,ATL,1528.3206200140241
380,2010-01-29,ATL,1519.6460170217224
399,2010-01-30,ATL,1526.2364395545194
449,2010-02-02,ATL,1518.5333826963417
452,2010-02-03,ATL,1511.3665544098853
484,2010-02-05,ATL,1518.171631062413
535,2010-02-09,ATL,1525.5578720142278
544,2010-02-10,ATL,1538.5436361867505
605,2010-02-17,ATL,1524.2985639119443
627,2010-02-19,ATL,1535.0839501157966
657,2010-02-21,ATL,1526.922449250013
669,2010-02-22,ATL,1516.4566140402164
686,2010-02-24,ATL,1531.3050114342836
712,2010-02-26,ATL,1536.2296097551437
752,2010-02-28,ATL,1523.5033815065642
769,2010-03-01,ATL,1531.8664120160872
786,2010-03-03,ATL,1545.0468811566107
824,2010-03-05,ATL,1550.539959853549
837,2010-03-06,ATL,1554.3849442176531
867,2010-03-08,ATL,1545.8434772182422
905,2010-03-11,ATL,1534.284737764389
932,2010-03-13,ATL,1544.043553063985
977,2010-03-16,ATL,1548.4036589244279
993,2010-03-17,ATL,1555.3995807067017
1012,2010-03-19,ATL,1545.8594018978386
1050,2010-03-21,ATL,1553.6436500365307
1063,2010-03-22,ATL,1560.6425949120257
1082,2010-03-24,ATL,1554.6003956284255
1115,2010-03-26,ATL,1563.3152583373378
1142,2010-03-28,ATL,1552.1559469977153
1176,2010-03-31,ATL,1557.9813383273263
1213,2010-04-02,ATL,1566.8660787778647
1224,2010-04-03,ATL,1561.4935025489442
1255,2010-04-06,ATL,1564.398018122726
1279,2010-04-07,ATL,1556.8962644468943
1306,2010-04-09,ATL,1544.309775952779
1331,2010-04-10,ATL,1549.5491256887021
1365,2010-04-12,ATL,1557.5818762294602
1384,2010-04-14,ATL,1571.1648999077072
1429,2010-10-27,ATL,1579.1245573569906
1449,2010-10-29,ATL,1588.69258743366
1466,2010-10-30,ATL,1595.7166823507525
1497,2010-11-02,ATL,1598.445271891173
1508,2010-11-03,ATL,1610.4158454546196
1547,2010-11-05,ATL,1612.7844367246303
1574,2010-11-07,ATL,1617.4215801718697
1587,2010-11-08,ATL,1603.9359631251405
1608,2010-11-10,ATL,1597.9682282001893
1634,2010-11-12,ATL,1584.4682128545312
1668,2010-11-14,ATL,1572.270288993476
1693,2010-11-16,ATL,1574.5860807836523
1752,2010-11-20,ATL,1585.2425869209178
1772,2010-11-22,ATL,1572.8589969720026
1789,2010-11-23,ATL,1559.5060929684862
1818,2010-11-25,ATL,1545.9919621758233
1845,2010-11-27,ATL,1549.5328902833237
1861,2010-11-28,ATL,1559.3345666060914
1894,2010-12-01,ATL,1569.1078291590106
1926,2010-12-03,ATL,1573.8763777828965
1945,2010-12-04,ATL,1576.9296930583475
1973,2010-12-06,ATL,1569.6459289367144
1984,2010-12-07,ATL,1584.7163100393932
2037,2010-12-10,ATL,1587.0075328105195
2046,2010-12-11,ATL,1581.2166525161508
2085,2010-12-14,ATL,1586.7424423397033
2115,2010-12-16,ATL,1573.2895470266988
2126,2010-12-17,ATL,1567.624502366926
2157,2010-12-19,ATL,1572.6337265693192
2164,2010-12-20,ATL,1558.3274724773382
2192,2010-12-22,ATL,1566.9329884473223
2243,2010-12-27,ATL,1571.4307872653528
2268,2010-12-29,ATL,1583.7593792723271
2303,2010-12-31,ATL,1587.3590377622177
2325,2011-01-02,ATL,1580.0111632377793
2357,2011-01-04,ATL,1586.627845310574
2375,2011-01-05,ATL,1591.3478805575155
2404,2011-01-08,ATL,1605.1801931581647
2455,2011-01-12,ATL,1608.967852020278
2498,2011-01-15,ATL,1616.3862044561217
2532,2011-01-17,ATL,1600.5646084379393
2543,2011-01-18,ATL,1602.3136751906356
2595,2011-01-22,ATL,1616.4943701380864
2657,2011-01-26,ATL,1625.5782729162643
2678,2011-01-28,ATL,1614.9313017837146
2703,2011-01-29,ATL,1619.2321059183187
2742,2011-02-02,ATL,1611.902298499764
2778,2011-02-04,ATL,1613.9868381540475
2795,2011-02-05,ATL,1617.0766613040041
2830,2011-02-08,ATL,1622.274696999546
2886,2011-02-12,ATL,1606.12229502192
2921,2011-02-14,ATL,1590.2549662902325
2949,2011-02-16,ATL,1597.7574289131094
2981,2011-02-22,ATL,1586.9036764107784
3001,2011-02-23,ATL,1579.6269951000413
3025,2011-02-25,ATL,1570.6975386256959
3059,2011-02-27,ATL,1580.3553836668366
3065,2011-02-28,ATL,1592.8332502439353
3084,2011-03-02,ATL,1584.5758418916614
3112,2011-03-04,ATL,1593.05112999453
3146,2011-03-06,ATL,1579.9559214151693
3166,2011-03-08,ATL,1564.5488292372752
3213,2011-03-11,ATL,1553.8992727681793
3224,2011-03-12,ATL,1549.152407615602
3266,2011-03-15,ATL,1556.989107620808
3274,2011-03-16,ATL,1561.6539432508728
3306,2011-03-18,ATL,1549.3948599404218
3336,2011-03-20,ATL,1538.6753522531699
3366,2011-03-22,ATL,1542.4973832810392
3377,2011-03-23,ATL,1532.9605147712837
3422,2011-03-26,ATL,1525.5752257751167
3437,2011-03-27,ATL,1528.9828534315398
3470,2011-03-30,ATL,1535.638752401053
3508,2011-04-01,ATL,1545.4518581141235
3549,2011-04-03,ATL,1554.098215516497
3552,2011-04-05,ATL,1547.047743319776
3605,2011-04-08,ATL,1537.2461823039005
3627,2011-04-09,ATL,1528.3185934001351
3652,2011-04-11,ATL,1515.3243511557541
3681,2011-04-13,ATL,1506.1455819253426
3739,2011-12-27,ATL,1497.0336451322873
3752,2011-12-28,ATL,1504.6815602835447
3782,2011-12-30,ATL,1508.0413813137661
3803,2011-12-31,ATL,1511.0080921241774
3835,2012-01-02,ATL,1504.7187710051105
3849,2012-01-03,ATL,1521.4111902639706
3880,2012-01-05,ATL,1518.3009660919954
3889,2012-01-06,ATL,1509.8467492141913
3910,2012-01-07,ATL,1520.7546561437853
3945,2012-01-09,ATL,1533.8683888858104
3973,2012-01-11,ATL,1540.0985888093421
3992,2012-01-12,ATL,1531.5948391338432
4022,2012-01-14,ATL,1535.9465030119914
4060,2012-01-16,ATL,1537.9263712081413
4094,2012-01-18,ATL,1540.307939414653
4107,2012-01-20,ATL,1549.1647466004322
4128,2012-01-21,ATL,1541.0375317134535
4163,2012-01-23,ATL,1544.391685864168
4199,2012-01-25,ATL,1555.1966601128822
4219,2012-01-27,ATL,1549.693193264644
4283,2012-01-31,ATL,1556.898365395723
4312,2012-02-02,ATL,1563.255725624555
4342,2012-02-04,ATL,1550.0780541310983
4376,2012-02-06,ATL,1536.6257897926826
4410,2012-02-08,ATL,1522.2991042802798
4431,2012-02-10,ATL,1530.6232883680048
4472,2012-02-12,ATL,1545.4071961636182
4505,2012-02-14,ATL,1535.9133057262889
4525,2012-02-15,ATL,1530.4934178382555
4563,2012-02-18,ATL,1542.129676540236
4585,2012-02-20,ATL,1534.472080028272
4623,2012-02-22,ATL,1530.7212363579392
4638,2012-02-23,ATL,1522.1605626085004
4664,2012-02-29,ATL,1532.2813033661105
4692,2012-03-02,ATL,1517.7042863906422
4710,2012-03-03,ATL,1523.490245423264
4757,2012-03-06,ATL,1536.0110583463104
4775,2012-03-07,ATL,1548.6487750222443
4801,2012-03-09,ATL,1544.6370334936573
4841,2012-03-11,ATL,1532.3874673094892
4869,2012-03-13,ATL,1540.9339103507043
4891,2012-03-14,ATL,1534.1839202719339
4906,2012-03-16,ATL,1526.3790522480758
4939,2012-03-18,ATL,1528.9249697753094
4956,2012-03-19,ATL,1537.4247666859328
4986,2012-03-21,ATL,1524.6117100164554
5016,2012-03-23,ATL,1528.5438195523795
5033,2012-03-24,ATL,1531.417724508928
5050,2012-03-25,ATL,1537.6622078841729
5083,2012-03-27,ATL,1544.6260984873823
5100,2012-03-28,ATL,1535.7990403392914
5122,2012-03-30,ATL,1527.8057804484515
5145,2012-03-31,ATL,1534.6028531681454
5200,2012-04-04,ATL,1526.1923066998502
5228,2012-04-06,ATL,1528.1179027249755
5249,2012-04-07,ATL,1532.5722391325712
5311,2012-04-11,ATL,1537.3885066487735
5339,2012-04-13,ATL,1531.8207843712105
5376,2012-04-15,ATL,1545.2750024091802
5393,2012-04-16,ATL,1528.2313727478065
5424,2012-04-18,ATL,1536.236967628722
5452,2012-04-20,ATL,1540.2965702639526
5480,2012-04-22,ATL,1549.1478261993
5508,2012-04-24,ATL,1535.9451558112594
5532,2012-04-26,ATL,1544.489326584434
5582,2012-11-02,ATL,1552.576962322444
5623,2012-11-04,ATL,1538.8647012002489
5648,2012-11-07,ATL,1554.2591004401856
5674,2012-11-09,ATL,1561.2946020377697
5713,2012-11-11,ATL,1550.8735208488577
5735,2012-11-12,ATL,1544.3639540311456
5761,2012-11-14,ATL,1554.2414686586105
