,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM,SEASON
0,82,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60.0,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,TOR,2016-17
0,82,240.9,38.6,85.1,0.454,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,BOS,2016-17
0,82,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17.0,22.0,0.771,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,PHI,2016-17
0,82,242.4,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,CLE,2016-17
0,82,242.1,39.3,84.5,0.465,8.6,23.0,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,IND,2016-17
0,82,241.2,39.0,85.8,0.455,9.9,27.0,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,MIA,2016-17
0,82,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,MIL,2016-17
0,82,242.1,41.3,87.0,0.475,9.2,24.8,0.372,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,WAS,2016-17
0,82,241.5,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.492,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,DET,2016-17
0,82,241.8,37.7,85.4,0.442,10.0,28.6,0.351,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,CHO,2016-17
0,82,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31.0,63.8,0.485,16.6,21.1,0.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,NYK,2016-17
0,82,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,BRK,2016-17
0,82,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31.0,64.8,0.479,18.0,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,CHI,2016-17
0,82,241.5,38.3,87.0,0.44,8.5,26.1,0.328,29.7,60.9,0.488,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,ORL,2016-17
0,82,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,ATL,2016-17
0,82,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,HOU,2016-17
0,82,241.2,43.1,87.1,0.495,12.0,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,GSW,2016-17
0,82,243.0,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,POR,2016-17
0,82,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,OKC,2016-17
0,82,240.9,37.0,79.5,0.466,9.6,26.0,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,UTA,2016-17
0,82,242.7,39.1,87.0,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,NOP,2016-17
